Feature name (optional)	Standard gene name (optional)	Chromosome (optional)	Start_coordinate (optional)	Stop_coordinate (optional)	Strand (optional)	Description (optional)	rep("Saccharomyces cerevisiae", nrow(inter))	paste0("https://www.yeastgenome.org/locus/", annotations_SC[,
YAL059W	ECM1	1	36509	37147	W	Pre-ribosomal factor involved in 60S ribosomal protein subunit export; associates with the pre-60S particle; shuttles between the nucleus and cytoplasm	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000055
YAL059C-A		1	36918	36496	C	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps verified gene ECM1/YAL059W	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000028734
YAL058W	CNE1	1	37464	38972	W	Calnexin; integral membrane ER chaperone involved in folding and quality control of glycoproteins; chaperone activity is inhibited by Mpd1p, with which Cne1p interacts; 24% identical to mammalian calnexin; Ca+ binding not yet shown in yeast	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000054
YAL056C-A		1	39046	38696	C	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000002139
YAL056W	GPB2	1	39259	41901	W	Multistep regulator of cAMP-PKA signaling; inhibits PKA downstream of Gpa2p and Cyr1p, thereby increasing cAMP dependency; inhibits Ras activity through direct interactions with Ira1p/2p; regulated by G-alpha protein Gpa2p; GPB2 has a paralog, GPB1, that arose from the whole genome duplication	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000052
YAL055W	PEX22	1	42177	42719	W	Putative peroxisomal membrane protein; required for import of peroxisomal proteins; functionally complements a Pichia pastoris pex22 mutation	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000051
YAL054C	ACS1	1	45022	42881	C	Acetyl-coA synthetase isoform; along with Acs2p, acetyl-coA synthetase isoform is the nuclear source of acetyl-coA for histone acetylation; expressed during growth on nonfermentable carbon sources and under aerobic conditions	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000050
YAL053W	FLC2	1	45899	48250	W	Putative calcium channel involved in calcium release under hypotonic stress; required for uptake of FAD into endoplasmic reticulum; involved in cell wall maintenance; FLC2 has a paralog, YOR365C, that arose from the whole genome duplication	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000049
YAL051W	OAF1	1	48564	51707	W	Oleate-activated transcription factor; subunit of a heterodimeric complex with Pip2p, which binds to oleate-response elements (ORE) in the promoter of genes involved in beta-oxidation of fatty acids, peroxisome organization and biogenesis, activating transcription in the presence of oleate; regulates chromatin silencing at telomeres; involved in diauxic shift; OAF1 has a paralog, PIP2, that arose from the whole genome duplication	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000048
YAL049C	AIM2	1	52595	51855	C	Cytoplasmic protein involved in mitochondrial function or organization; null mutant displays reduced frequency of mitochondrial genome loss; potential Hsp82p interactor	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000047
YAL047W-A		1	54584	54913	W	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps ORF GEM1/YAL048C	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000028733
YAL048C	GEM1	1	54789	52801	C	Outer mitochondrial membrane GTPase, subunit of the ERMES complex; potential regulatory subunit of the ERMES complex that links the ER to mitochondria and may promote inter-organellar calcium and phospholipid exchange as well as coordinating mitochondrial DNA replication and growth; cells lacking Gem1p contain collapsed, globular, or grape-like mitochondria; ortholog of metazoan Miro GTPases	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000046
YAL047C	SPC72	1	56857	54989	C	Gamma-tubulin small complex (gamma-TuSC) receptor; recruits the gamma-TuSC complex to the cytoplasmic side of the SPB, connecting nuclear microtubules to the SPB; involved in astral microtubule formation, stabilization, and with Stu2p, anchoring astral MTs at the cytoplasmic face of the SPB, and regulating plus-end MT dynamics; regulated by Cdc5 kinase	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000045
YAL046C	BOL3	1	57385	57029	C	Protein involved in Fe-S cluster transfer to mitochondrial clients; protects [4Fe-4S] clusters from damage due to oxidative stress by acting along with Nfu1p at a late step in the transfer of [4Fe-4S] clusters from the ISA complex to mitochondrial client proteins like lipoate synthase and succinate dehydrogenase; sequence similarity to human BOLA family member, BOLA3, mutations of which are associated with Multiple Mitochondria Dysfunctions Syndrome (MMDS2)	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000044
YAL044W-A	BOL1	1	57518	57850	W	Mitochondrial matrix protein involved in Fe-S cluster biogenesis; facilitates [4Fe-2S] cluster inception into mitochondrial proteins such as lipoate synthase and succinate dehydrogenase; interacts and may function with Grx5p at an early step in Fe-S cluster biosynthesis; forms dimeric complexes with Grx5p and Nfu1p that alter the stability of shared Fe/S clusters; sequence similarity to human BOLA family member, BOLA1 and S. pombe uvi31, a putative DNA repair protein	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000007586
YAL045C		1	57796	57488	C	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; almost completely overlaps YAL044W-A	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000043
YAL044C	GCV3	1	58462	57950	C	H subunit of the mitochondrial glycine decarboxylase complex; glycine decarboxylase is required for the catabolism of glycine to 5,10-methylene-THF; also required for all protein lipoylation; expression is regulated by levels of 5,10-methylene-THF	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000042
YAL043C	PTA1	1	61052	58695	C	Subunit of holo-CPF; holo-CPF is a multiprotein complex and functional homolog of mammalian CPSF, required for the cleavage and polyadenylation of mRNA and snoRNA 3' ends; involved in pre-tRNA processing; binds to the phosphorylated CTD of RNAPII	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000041
YAL042W	ERV46	1	61316	62563	W	Protein localized to COPII-coated vesicles; forms a complex with Erv41p; involved in the membrane fusion stage of transport	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000040
YAL042C-A		1	61608	61231	C	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps verified ORF ERV46/YAL042W; YAL042C-A is a non-essential gene	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000002138
YAL041W	CDC24	1	62840	65404	W	Guanine nucleotide exchange factor (GEF) for Cdc42p; required for polarity establishment and maintenance, and mutants have morphological defects in bud formation and shmooing; relocalizes from nucleus to cytoplasm upon DNA replication stress; thermosensitivity of the cdc24-4 mutant in the presence of sorbitol is functionally complemented by human CDC42	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000039
YAL040C	CLN3	1	67520	65778	C	G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote G1 to S phase transition; plays a role in regulating transcription of other G1 cyclins, CLN1 and CLN2; regulated by phosphorylation and proteolysis; acetyl-CoA induces CLN3 transcription in response to nutrient repletion to promote cell-cycle entry; cell cycle arrest phenotype of the cln1 cln2 cln3 triple null mutant is complemented by any of human cyclins CCNA2, CCNB1, CCNC, CCND1, or CCNE1	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000038
YAL039C	CYC3	1	69525	68716	C	Cytochrome c heme lyase (holocytochrome c synthase); attaches heme to apo-cytochrome c (Cyc1p or Cyc7p) in mitochondrial intermembrane space; human homolog HCCS implicated in microphthalmia with linear skin defects (MLS), and can complement yeast null mutant	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000037
YAL038W	CDC19	1	71786	73288	W	Pyruvate kinase; functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration; regulated via allosteric activation by fructose bisphosphate; CDC19 has a paralog, PYK2, that arose from the whole genome duplication	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000036
YAL037C-B		1	73300	72326	C	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000028592
YAL037C-A		1	73518	73426	C	Putative protein of unknown function	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000028732
YAL037W		1	74020	74823	W	Putative protein of unknown function; YAL037W has a paralog, YOR342C, that arose from the whole genome duplication	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000035
YAL036C	RBG1	1	76152	75043	C	Member of the DRG family of GTP-binding proteins; associates with translating ribosomes; interacts with Tma46p, Ygr250cp, Gir2p and Yap1p via two-hybrid	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000034
YAL035W	FUN12	1	76427	79435	W	Translation initiation factor eIF5B; GTPase that promotes Met-tRNAiMet binding to ribosomes and ribosomal subunit joining; promotes GTP-dependent maturation of 18S rRNA by Nob1p; protein abundance increases in response to DNA replication stress; homolog of bacterial IF2	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000033
YAL034W-A	MTW1	1	79718	80587	W	Essential component of the MIND kinetochore complex; joins kinetochore subunits contacting DNA to those contacting microtubules; critical to kinetochore assembly; complex consists of Mtw1p Including Nnf1p-Nsl1p-Dsn1p (MIND)	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000032
YAL034C-B		1	79842	79489	C	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000002137
YAL034C	FUN19	1	81951	80710	C	Non-essential protein of unknown function; expression induced in response to heat stress; FUN19 has a paralog, YOR338W, that arose from the whole genome duplication	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000002134
YAL033W	POP5	1	82706	83227	W	Subunit of both RNase MRP and nuclear RNase P; RNase MRP cleaves pre-rRNA, while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000031
YAL032C	PRP45	1	84474	83335	C	Protein required for pre-mRNA splicing; associates with the spliceosome and interacts with splicing factors Prp22p and Prp46p; orthologous to human transcriptional coactivator SKIP and can activate transcription of a reporter gene	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000030
YAL031W-A		1	84669	84977	W	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps ORF GIP4/YAL031C	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000028731
YAL031C	GIP4	1	87031	84749	C	Cytoplasmic protein that regulates protein phosphatase 1 Glc7p; protein overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation; potential Cdc28p substrate	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000029
YAL030W	SNC1	1	87286	87752	W	Vesicle membrane receptor protein (v-SNARE); involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane; proposed to be involved in endocytosis; member of the synaptobrevin/VAMP family of R-type v-SNARE proteins; SNC1 has a paralog, SNC2, that arose from the whole genome duplication	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000028
YAL029C	MYO4	1	92270	87855	C	Type V myosin motor involved in actin-based transport of cargos; required for mRNA transport, including ASH1 mRNA, and facilitating the growth and movement of ER tubules into the growing bud along with She3p; MYO4 has a paralog, MYO2, that arose from the whole genome duplication	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000027
YAL028W	FRT2	1	92900	94486	W	Tail-anchored ER membrane protein of unknown function; interacts with homolog Frt1p; promotes growth in conditions of high Na+, alkaline pH, or cell wall stress, possibly via a role in posttranslational translocation; potential Cdc28p substrate; FRT2 has a paralog, FRT1, that arose from the whole genome duplication	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000026
YAL027W	SAW1	1	94687	95472	W	5'- and 3'-flap DNA binding protein; recruits Rad1p-Rad10p to single-strand annealing intermediates with 3' non-homologous tails for removal during double-strand break repair; complexes with Rad1p-Rad10p and stimulates its endonuclease activity; green fluorescent protein (GFP)-fusion protein localizes to the nucleus	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000025
YAL026C-A		1	95823	95386	C	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YAL027W and the verified gene DRS2	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000028730
YAL026C	DRS2	1	99697	95630	C	Trans-golgi network aminophospholipid translocase (flippase); maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation, endocytosis, protein trafficking between the Golgi and endosomal system and the cellular response to mating pheromone; autoinhibited by its C-terminal tail; localizes to the trans-Golgi network; mutations in human homolog ATP8B1 result in liver disease	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000024
YAL025C	MAK16	1	101145	100225	C	Essential nuclear protein; constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite double-stranded RNA of the L-A virus	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000023
YAL024C	LTE1	1	105872	101565	C	Protein similar to GDP/GTP exchange factors; without detectable GEF activity; required for asymmetric localization of Bfa1p at daughter-directed spindle pole bodies and for mitotic exit at low temperatures	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000022
YAL023C	PMT2	1	108551	106272	C	Protein O-mannosyltransferase of the ER membrane; transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; involved in ER quality control; acts in a complex with Pmt1p, can instead interact with Pmt5p; antifungal drug target; PMT2 has a paralog, PMT3, that arose from the whole genome duplication	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000021
YAL022C	FUN26	1	110430	108877	C	High affinity, broad selectivity, nucleoside/nucleobase transporter; vacuolar membrane localized transporter which may regulate the balance of nicotinamide riboside (NmR) levels between the cytosol and vacuole, contributing to salvage of NmR for use in cytosolic NAD+ synthesis; equilibrative nucleoside transporter (ENT) family member	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000020
YAL021C	CCR4	1	113359	110846	C	Component of the CCR4-NOT transcriptional complex; CCR4-NOT is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000019
YAL019W-A		1	114250	114819	W	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps ORF ATS1/YAL020C	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000028729
YAL020C	ATS1	1	114615	113614	C	Protein required for modification of wobble nucleosides in tRNA; acts with Elongator complex, Kti11p, and Kti12p; has a potential role in regulatory interactions between microtubules and the cell cycle; forms a stable heterodimer with Kti11p	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000018
YAL019W	FUN30	1	114919	118314	W	Snf2p family member with ATP-dependent chromatin remodeling activity; has a role in silencing at the mating type locus, telomeres and centromeres; enriched at centromeres and is required for correct chromatin structure around centromeres, as well as at the boundary element of the silent HMR; recruited to DNA double-strand breaks (DSBs) where it promotes 5' strand resection of DSBs; potential Cdc28p substrate	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000017
YAL018C	LDS1	1	119541	118564	C	Protein Involved in spore wall assembly; localizes to lipid droplets found on or outside of the prospore membrane; shares similarity with Lds2p and Rrt8p, and a strain mutant for all 3 genes exhibits reduced dityrosine fluorescence relative to the single mutants	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000016
YAL017W	PSK1	1	120225	124295	W	PAS domain-containing serine/threonine protein kinase; coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status; PSK1 has a paralog, PSK2, that arose from the whole genome duplication	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000015
YAL016C-B		1	124492	124307	C	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000028528
YAL016W	TPD3	1	124879	126786	W	Regulatory subunit A of the heterotrimeric PP2A complex; the heterotrimeric protein phosphatase 2A (PP2A) complex also contains regulatory subunit Cdc55p and either catalytic subunit Pph21p or Pph22p; required for cell morphogenesis and transcription by RNA polymerase III	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000014
YAL016C-A		1	125069	124755	C	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps ORF TPD3/YAL016W	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000028728
YAL015C	NTG1	1	128102	126903	C	DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase; involved in base excision repair; acts in both nucleus and mitochondrion; creates a double-strand break at mtDNA origins that stimulates replication in response to oxidative stress; required for maintaining mitochondrial genome integrity; NTG1 has a paralog, NTG2, that arose from the whole genome duplication	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000013
YAL014C	SYN8	1	129019	128252	C	Endosomal SNARE related to mammalian syntaxin 8	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000012
YAL013W	DEP1	1	129270	130487	W	Component of the Rpd3L histone deacetylase complex; required for diauxic shift-induced histone H2B deposition onto rDNA genes; transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes, as well as maintenance of telomeres, mating efficiency, and sporulation	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000011
YAL012W	CYS3	1	130799	131983	W	Cystathionine gamma-lyase; catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine; protein abundance increases in response to DNA replication stress	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000010
YAL011W	SWC3	1	132199	134076	W	Protein of unknown function; component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for formation of nuclear-associated array of smooth endoplasmic reticulum known as karmellae	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000009
YAL010C	MDM10	1	135665	134184	C	Subunit of both the ERMES and the SAM complex; component of ERMES complex which acts as a molecular tether between the mitochondria and the ER, necessary for efficient phospholipid exchange between organelles and for mitophagy; SAM/TOB complex component that functions in the assembly of outer membrane beta-barrel proteins; involved in mitochondrial inheritance and morphology; ERMES complex is often co-localized with peroxisomes and concentrated areas of pyruvate dehydrogenase	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000008
YAL009W	SPO7	1	135854	136633	W	Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme; regulates nuclear growth by controlling phospholipid biosynthesis, required for normal nuclear envelope morphology, premeiotic replication, and sporulation	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000007
YAL008W	FUN14	1	136914	137510	W	Integral mitochondrial outer membrane (MOM) protein; dosage suppressor of an MDM10 null that reduces ERMES-related phenotypes, such as alterations in mitochondrial morphology, protein complex assembly, and lipid profile; dosage suppressor of MDM12, MDM34, and MMM1 null mutant growth defects; novel mechanism of MOM import involving Tom70p, the TOM complex, and the TIM23 complex, requiring mitochondrial membrane potential and processing by the IMP complex for correct biogenesis	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000006
YAL007C	ERP2	1	138345	137698	C	Member of the p24 family involved in ER to Golgi transport; similar to Emp24p and Erv25p; role in misfolded protein quality control; forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p; localized to COPII-coated vesicles; ERP2 has a paralog, ERP4, that arose from the whole genome duplication	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000005
YAL004W		1	140760	141407	W	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps verified gene SSA1/YAL005C	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000002136
YAL005C	SSA1	1	141431	139503	C	ATPase involved in protein folding and NLS-directed nuclear transport; member of HSP70 family; required for ubiquitin-dependent degradation of short-lived proteins; forms chaperone complex with Ydj1p; localized to nucleus, cytoplasm, cell wall; 98% identical to paralog Ssa2p with different functional specificity in propagation of yeast [URE3] prions, vacuolar-mediated degradations of gluconeogenesis enzymes; general targeting factor of Hsp104p to prion fibrils	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000004
YAL003W	EFB1	1	142174	143160	W	Translation elongation factor 1 beta; stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle; part of the EF-1 complex, which facilitates binding of aminoacyl-tRNA to the ribosomal A site; human homolog EEF1B2 can complement yeast efb1 mutants	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000003
YAL002W	VPS8	1	143707	147531	W	Membrane-binding component of the CORVET complex; involved in endosomal vesicle tethering and fusion in the endosome to vacuole protein targeting pathway; interacts with Vps21p; contains RING finger motif	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000002
YAL001C	TFC3	1	151166	147594	C	Subunit of RNA polymerase III transcription initiation factor complex; part of the TauB domain of TFIIIC that binds DNA at the BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding; largest of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC)	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000001
YAR002W	NUP60	1	152257	153876	W	FG-nucleoporin component of central core of the nuclear pore complex; contributes directly to nucleocytoplasmic transport and maintenance of the nuclear pore complex (NPC) permeability barrier and is involved in gene tethering at the nuclear periphery; relocalizes to the cytosol in response to hypoxia; both NUP1 and NUP60 are homologous to human NUP153	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000063
YAR002C-A	ERP1	1	154724	154065	C	Member of the p24 family involved in ER to Golgi transport; role in misfolded protein quality control; forms heterotrimeric complex with Erp2p, Emp24p, and Erv25p; localized to COPII-coated vesicles; ERP1 has a paralog, ERP6, that arose from the whole genome duplication	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000002129
YAR003W	SWD1	1	155005	156285	W	Subunit of the COMPASS (Set1C) complex; COMPASS methylates histone H3 on lysine 4 and is required in transcriptional silencing near telomeres; WD40 beta propeller superfamily member with similarity to mammalian Rbbp7	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000064
YAR007C	RFA1	1	158619	156754	C	Subunit of heterotrimeric Replication Protein A (RPA); RPA is a highly conserved single-stranded DNA binding protein involved in DNA replication, repair, and recombination; RPA protects against inappropriate telomere recombination, and upon telomere uncapping, prevents cell proliferation by a checkpoint-independent pathway; role in DNA catenation/decatenation pathway of chromosome disentangling; relocalizes to the cytosol in response to hypoxia	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000065
YAR008W	SEN34	1	158966	159793	W	Subunit of the tRNA splicing endonuclease; tRNA splicing endonuclease (Sen complex) is composed of Sen2p, Sen15p, Sen34p, and Sen54p; Sen complex also cleaves the CBP1 mRNA at the mitochondrial surface; Sen34p contains the active site for tRNA 3' splice site cleavage and has similarity to Sen2p and to Archaeal tRNA splicing endonuclease	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000066
YAR014C	BUD14	1	168871	166742	C	Protein involved in bud-site selection; Bud14p-Glc7p complex is a cortical regulator of dynein; forms a complex with Kel1p and Kel2p that regulates Bnr1p (formin) to affect actin cable assembly, cytokinesis, and polarized growth; diploid mutants display a random budding pattern instead of the wild-type bipolar pattern; relative distribution to the nucleus increases upon DNA replication stress	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000069
YAR015W	ADE1	1	169375	170295	W	N-succinyl-5-aminoimidazole-4-carboxamide ribotide synthetase; required for 'de novo' purine nucleotide biosynthesis; red pigment accumulates in mutant cells deprived of adenine; protein abundance increases in response to DNA replication stress	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000070
YAR018C	KIN3	1	171703	170396	C	Nonessential serine/threonine protein kinase; possible role in DNA damage response; influences tolerance to high levels of ethanol	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000000071
YAR019W-A		1	174998	175330	W	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps ORF CDC15/YAR019C	Saccharomyces cerevisiae	https://www.yeastgenome.org/locus/S000028735
