Feature_name	Primary_SGDID	Feature_type	Feature_qualifier	Alias	Parent_feature_name	Secondary_SGDID	Genetic_position	Coordinate_version	Sequence_version	Description
YAL043C	S000000041	ORF	Verified	RNA-processing protein PTA1|FUN39	chromosome 1	L000001522	NA	2011-02-03	1996-07-31	Subunit of holo-CPF; holo-CPF is a multiprotein complex and functional homolog of mammalian CPSF, required for the cleavage and polyadenylation of mRNA and snoRNA 3' ends; involved in pre-tRNA processing; binds to the phosphorylated CTD of RNAPII
YAL042W	S000000040	ORF	Verified	FUN9	chromosome 1	L000000633	NA	2011-02-03	1996-07-31	Protein localized to COPII-coated vesicles; forms a complex with Erv41p; involved in the membrane fusion stage of transport
YAL042C-A	S000002138	ORF	Dubious	YAL043C-A	chromosome 1		NA	2011-02-03	1996-07-31	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps verified ORF ERV46/YAL042W; YAL042C-A is a non-essential gene
YAL041W	S000000039	ORF	Verified	Rho family guanine nucleotide exchange factor CDC24|CLS4	chromosome 1	L000000262	-56	2011-02-03	1996-07-31	Guanine nucleotide exchange factor (GEF) for Cdc42p; required for polarity establishment and maintenance, and mutants have morphological defects in bud formation and shmooing; relocalizes from nucleus to cytoplasm upon DNA replication stress; thermosensitivity of the cdc24-4 mutant in the presence of sorbitol is functionally complemented by human CDC42
YAL040C	S000000038	ORF	Verified	cyclin CLN3|WHI1|FUN10|DAF1	chromosome 1	L000000359	-56	2011-02-03	1996-07-31	G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote G1 to S phase transition; plays a role in regulating transcription of other G1 cyclins, CLN1 and CLN2; regulated by phosphorylation and proteolysis; acetyl-CoA induces CLN3 transcription in response to nutrient repletion to promote cell-cycle entry; cell cycle arrest phenotype of the cln1 cln2 cln3 triple null mutant is complemented by any of human cyclins CCNA2, CCNB1, CCNC, CCND1, or CCNE1
YAL039C	S000000037	ORF	Verified	holocytochrome c synthase CYC3|CCHL	chromosome 1	L000000450	-47	2011-02-03	1996-07-31	Cytochrome c heme lyase (holocytochrome c synthase); attaches heme to apo-cytochrome c (Cyc1p or Cyc7p) in mitochondrial intermembrane space; human homolog HCCS implicated in microphthalmia with linear skin defects (MLS), and can complement yeast null mutant
YAL038W	S000000036	ORF	Verified	pyruvate kinase CDC19|PYK1	chromosome 1	L000000258	-45	2011-02-03	1996-07-31	Pyruvate kinase; functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration; regulated via allosteric activation by fructose bisphosphate; CDC19 has a paralog, PYK2, that arose from the whole genome duplication
YAL037C-B	S000028592	ORF	Dubious		chromosome 1		NA	2011-02-03	2003-07-29	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching
YAL037C-A	S000028732	ORF	Uncharacterized		chromosome 1		NA	2011-02-03	2003-07-29	Putative protein of unknown function
YAL037W	S000000035	ORF	Uncharacterized		chromosome 1		NA	2011-02-03	1996-07-31	Putative protein of unknown function; YAL037W has a paralog, YOR342C, that arose from the whole genome duplication
YAL036C	S000000034	ORF	Verified	GTP-binding protein RBG1|FUN11	chromosome 1	L000000634	NA	2011-02-03	1996-07-31	Member of the DRG family of GTP-binding proteins; associates with translating ribosomes; interacts with Tma46p, Ygr250cp, Gir2p and Yap1p via two-hybrid
YAL035W	S000000033	ORF	Verified	translation initiation factor eIF5B|eIF5B|yIF2	chromosome 1	L000000635	NA	2011-02-03	1996-07-31	Translation initiation factor eIF5B; GTPase that promotes Met-tRNAiMet binding to ribosomes and ribosomal subunit joining; promotes GTP-dependent maturation of 18S rRNA by Nob1p; protein abundance increases in response to DNA replication stress; homolog of bacterial IF2
YAL034W-A	S000000032	ORF	Verified	MIND complex subunit MTW1|NSL2|DSN3	chromosome 1	S000007418	NA	2011-02-03	1996-07-31	Essential component of the MIND kinetochore complex; joins kinetochore subunits contacting DNA to those contacting microtubules; critical to kinetochore assembly; complex consists of Mtw1p Including Nnf1p-Nsl1p-Dsn1p (MIND)
YAL034C-B	S000002137	ORF	Dubious	YAL035C-A	chromosome 1		NA	2011-02-03	1996-07-31	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
YAL034C	S000002134	ORF	Verified		chromosome 1	L000000637	NA	2011-02-03	2003-09-22|1996-07-31	Non-essential protein of unknown function; expression induced in response to heat stress; FUN19 has a paralog, YOR338W, that arose from the whole genome duplication
YAL033W	S000000031	ORF	Verified	RNA-binding protein POP5|FUN53	chromosome 1	L000004301|L000000649	NA	2011-02-03	1996-07-31	Subunit of both RNase MRP and nuclear RNase P; RNase MRP cleaves pre-rRNA, while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs
YAL032C	S000000030	ORF	Verified	mRNA splicing protein PRP45|FUN20	chromosome 1	L000000638	NA	2011-02-03	1996-07-31	Protein required for pre-mRNA splicing; associates with the spliceosome and interacts with splicing factors Prp22p and Prp46p; orthologous to human transcriptional coactivator SKIP and can activate transcription of a reporter gene
YAL031W-A	S000028731	ORF	Dubious		chromosome 1		NA	2011-02-03	2003-07-29	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps ORF GIP4/YAL031C
YAL031C	S000000029	ORF	Verified	protein phosphatase regulator GIP4|FUN21	chromosome 1	L000000639	NA	2011-02-03	1996-07-31	Cytoplasmic protein that regulates protein phosphatase 1 Glc7p; protein overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation; potential Cdc28p substrate
YAL030W	S000000028	ORF	Verified	SNAP receptor SNC1	chromosome 1	L000001942	NA	2011-02-03	1996-07-31	Vesicle membrane receptor protein (v-SNARE); involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane; proposed to be involved in endocytosis; member of the synaptobrevin/VAMP family of R-type v-SNARE proteins; SNC1 has a paralog, SNC2, that arose from the whole genome duplication
YAL029C	S000000027	ORF	Verified	myosin 4|SHE1|FUN22	chromosome 1	L000000640|L000001224	NA	2011-02-03	1996-07-31	Type V myosin motor involved in actin-based transport of cargos; required for mRNA transport, including ASH1 mRNA, and facilitating the growth and movement of ER tubules into the growing bud along with She3p; MYO4 has a paralog, MYO2, that arose from the whole genome duplication
YAL028W	S000000026	ORF	Verified	HPH2	chromosome 1		NA	2011-02-03	1996-07-31	Tail-anchored ER membrane protein of unknown function; interacts with homolog Frt1p; promotes growth in conditions of high Na+, alkaline pH, or cell wall stress, possibly via a role in posttranslational translocation; potential Cdc28p substrate; FRT2 has a paralog, FRT1, that arose from the whole genome duplication
YAL027W	S000000025	ORF	Verified	DNA-binding protein SAW1	chromosome 1		NA	2011-02-03	1996-07-31	5'- and 3'-flap DNA binding protein; recruits Rad1p-Rad10p to single-strand annealing intermediates with 3' non-homologous tails for removal during double-strand break repair; complexes with Rad1p-Rad10p and stimulates its endonuclease activity; green fluorescent protein (GFP)-fusion protein localizes to the nucleus
YAL026C-A	S000028730	ORF	Dubious		chromosome 1		NA	2011-02-03	2003-07-29	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YAL027W and the verified gene DRS2
YAL026C	S000000024	ORF	Verified	aminophospholipid-translocating P4-type ATPase DRS2|SWA3|FUN38	chromosome 1	L000000526	NA	2011-02-03	1996-07-31|2011-02-03	Trans-golgi network aminophospholipid translocase (flippase); maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation, endocytosis, protein trafficking between the Golgi and endosomal system and the cellular response to mating pheromone; autoinhibited by its C-terminal tail; localizes to the trans-Golgi network; mutations in human homolog ATP8B1 result in liver disease
YAL025C	S000000023	ORF	Verified	ribosome biosynthesis protein MAK16	chromosome 1	L000000989	-31	2011-02-03	1996-07-31|2011-02-03	Essential nuclear protein; constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite double-stranded RNA of the L-A virus
YAL024C	S000000022	ORF	Verified	mitotic regulator LTE1|MSI2	chromosome 1	L000000955	-31	2011-02-03	1996-07-31	Protein similar to GDP/GTP exchange factors; without detectable GEF activity; required for asymmetric localization of Bfa1p at daughter-directed spindle pole bodies and for mitotic exit at low temperatures
YAL023C	S000000021	ORF	Verified	dolichyl-phosphate-mannose-protein mannosyltransferase PMT2|FUN25	chromosome 1	L000000642|L000001459	NA	2011-02-03	2002-12-17|1996-07-31	Protein O-mannosyltransferase of the ER membrane; transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; involved in ER quality control; acts in a complex with Pmt1p, can instead interact with Pmt5p; antifungal drug target; PMT2 has a paralog, PMT3, that arose from the whole genome duplication
YAL022C	S000000020	ORF	Verified	nucleoside transmembrane transporter FUN26	chromosome 1	L000000643	NA	2011-02-03	1996-07-31	High affinity, broad selectivity, nucleoside/nucleobase transporter; vacuolar membrane localized transporter which may regulate the balance of nicotinamide riboside (NmR) levels between the cytosol and vacuole, contributing to salvage of NmR for use in cytosolic NAD+ synthesis; equilibrative nucleoside transporter (ENT) family member
YAL021C	S000000019	ORF	Verified	CCR4-NOT core exoribonuclease subunit CCR4|NUT21|FUN27	chromosome 1	L000000239	-25	2011-02-03	1996-07-31	Component of the CCR4-NOT transcriptional complex; CCR4-NOT is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening
YAL019W-A	S000028729	ORF	Dubious		chromosome 1		NA	2011-02-03	2003-07-29	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps ORF ATS1/YAL020C
YAL020C	S000000018	ORF	Verified	KTI13|FUN28	chromosome 1	L000000644|L000000154	NA	2011-02-03	1996-07-31|2011-02-03	Protein required for modification of wobble nucleosides in tRNA; acts with Elongator complex, Kti11p, and Kti12p; has a potential role in regulatory interactions between microtubules and the cell cycle; forms a stable heterodimer with Kti11p
YAL019W	S000000017	ORF	Verified	DNA-dependent ATPase FUN30	chromosome 1	L000000645	NA	2011-02-03	1996-07-31	Snf2p family member with ATP-dependent chromatin remodeling activity; has a role in silencing at the mating type locus, telomeres and centromeres; enriched at centromeres and is required for correct chromatin structure around centromeres, as well as at the boundary element of the silent HMR; recruited to DNA double-strand breaks (DSBs) where it promotes 5' strand resection of DSBs; potential Cdc28p substrate
YAL018C	S000000016	ORF	Verified		chromosome 1		NA	2011-02-03	1996-07-31	Protein Involved in spore wall assembly; localizes to lipid droplets found on or outside of the prospore membrane; shares similarity with Lds2p and Rrt8p, and a strain mutant for all 3 genes exhibits reduced dityrosine fluorescence relative to the single mutants
YAL017W	S000000015	ORF	Verified	serine/threonine protein kinase PSK1|FUN31	chromosome 1	L000000646	NA	2011-02-03	1996-07-31|2011-02-03	PAS domain-containing serine/threonine protein kinase; coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status; PSK1 has a paralog, PSK2, that arose from the whole genome duplication
YAL016C-B	S000028528	ORF	Dubious		chromosome 1		NA	2011-02-03	2003-07-29	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
YAL016W	S000000014	ORF	Verified	protein phosphatase 2A structural subunit TPD3|FUN32	chromosome 1	L000002325	0.5	2011-02-03	1996-07-31	Regulatory subunit A of the heterotrimeric PP2A complex; the heterotrimeric protein phosphatase 2A (PP2A) complex also contains regulatory subunit Cdc55p and either catalytic subunit Pph21p or Pph22p; required for cell morphogenesis and transcription by RNA polymerase III
YAL016C-A	S000028728	ORF	Dubious		chromosome 1		NA	2011-02-03	2003-07-29	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps ORF TPD3/YAL016W
YAL015C	S000000013	ORF	Verified	bifunctional N-glycosylase/AP lyase NTG1|ogg2|SCR1|FUN33	chromosome 1	L000004114	NA	2011-02-03	1996-07-31	DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase; involved in base excision repair; acts in both nucleus and mitochondrion; creates a double-strand break at mtDNA origins that stimulates replication in response to oxidative stress; required for maintaining mitochondrial genome integrity; NTG1 has a paralog, NTG2, that arose from the whole genome duplication
YAL014C	S000000012	ORF	Verified	syntaxin|SLT2|UIP2	chromosome 1		NA	2011-02-03	2002-12-17|1996-07-31	Endosomal SNARE related to mammalian syntaxin 8
YAL013W	S000000011	ORF	Verified	Rpd3L histone deacetylase complex subunit DEP1|FUN54	chromosome 1	L000000502	12	2011-02-03	2003-12-15|1996-07-31|2011-02-03	Component of the Rpd3L histone deacetylase complex; required for diauxic shift-induced histone H2B deposition onto rDNA genes; transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes, as well as maintenance of telomeres, mating efficiency, and sporulation
YAL012W	S000000010	ORF	Verified	cystathionine gamma-lyase CYS3|STR1|FUN35|CYI1	chromosome 1	L000000470	-16	2011-02-03	1996-07-31	Cystathionine gamma-lyase; catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine; protein abundance increases in response to DNA replication stress
YAL011W	S000000009	ORF	Verified	SWC1	chromosome 1		NA	2011-02-03	2003-09-22|1996-07-31	Protein of unknown function; component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for formation of nuclear-associated array of smooth endoplasmic reticulum known as karmellae
YAL010C	S000000008	ORF	Verified	FUN37	chromosome 1	L000000648|L000001053	NA	2011-02-03	1996-07-31|2011-02-03	Subunit of both the ERMES and the SAM complex; component of ERMES complex which acts as a molecular tether between the mitochondria and the ER, necessary for efficient phospholipid exchange between organelles and for mitophagy; SAM/TOB complex component that functions in the assembly of outer membrane beta-barrel proteins; involved in mitochondrial inheritance and morphology; ERMES complex is often co-localized with peroxisomes and concentrated areas of pyruvate dehydrogenase
YAL009W	S000000007	ORF	Verified	Nem1-Spo7 phosphatase regulatory subunit SPO7	chromosome 1	L000002000	-4	2011-02-03	1996-07-31	Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme; regulates nuclear growth by controlling phospholipid biosynthesis, required for normal nuclear envelope morphology, premeiotic replication, and sporulation
YAL008W	S000000006	ORF	Verified	MCP3	chromosome 1	L000000636	NA	2011-02-03	1996-07-31	Integral mitochondrial outer membrane (MOM) protein; dosage suppressor of an MDM10 null that reduces ERMES-related phenotypes, such as alterations in mitochondrial morphology, protein complex assembly, and lipid profile; dosage suppressor of MDM12, MDM34, and MMM1 null mutant growth defects; novel mechanism of MOM import involving Tom70p, the TOM complex, and the TIM23 complex, requiring mitochondrial membrane potential and processing by the IMP complex for correct biogenesis
YAL007C	S000000005	ORF	Verified		chromosome 1	L000004679	NA	2011-02-03	1996-07-31	Member of the p24 family involved in ER to Golgi transport; similar to Emp24p and Erv25p; role in misfolded protein quality control; forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p; localized to COPII-coated vesicles; ERP2 has a paralog, ERP4, that arose from the whole genome duplication
YAL004W	S000002136	ORF	Dubious		chromosome 1		NA	2011-02-03	1996-07-31|2007-04-05	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps verified gene SSA1/YAL005C
YAL005C	S000000004	ORF	Verified	Hsp70 family ATPase SSA1|YG100	chromosome 1	L000002069	-1	2011-02-03	1996-07-31|2007-04-05	ATPase involved in protein folding and NLS-directed nuclear transport; member of HSP70 family; required for ubiquitin-dependent degradation of short-lived proteins; forms chaperone complex with Ydj1p; localized to nucleus, cytoplasm, cell wall; 98% identical to paralog Ssa2p with different functional specificity in propagation of yeast [URE3] prions, vacuolar-mediated degradations of gluconeogenesis enzymes; general targeting factor of Hsp104p to prion fibrils
YAL003W	S000000003	ORF	Verified	translation elongation factor 1 subunit beta|EF-1beta|eEF1Balpha|TEF5	chromosome 1	L000000542	NA	2011-02-03	1996-07-31|1999-07-17	Translation elongation factor 1 beta; stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle; part of the EF-1 complex, which facilitates binding of aminoacyl-tRNA to the ribosomal A site; human homolog EEF1B2 can complement yeast efb1 mutants
YAL002W	S000000002	ORF	Verified	CORVET complex membrane-binding subunit VPS8|VPL8|VPT8|FUN15	chromosome 1	L000003013	NA	2011-02-03	2004-01-14|1996-07-31	Membrane-binding component of the CORVET complex; involved in endosomal vesicle tethering and fusion in the endosome to vacuole protein targeting pathway; interacts with Vps21p; contains RING finger motif
YAL001C	S000000001	ORF	Verified	transcription factor TFIIIC subunit TFC3|tau 138|TSV115|FUN24	chromosome 1	L000000641|L000002287	-1	2011-02-03	1996-07-31	Subunit of RNA polymerase III transcription initiation factor complex; part of the TauB domain of TFIIIC that binds DNA at the BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding; largest of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC)
YAR002W	S000000063	ORF	Verified	FG-nucleoporin NUP60	chromosome 1		NA	2011-02-03	1996-07-31	FG-nucleoporin component of central core of the nuclear pore complex; contributes directly to nucleocytoplasmic transport and maintenance of the nuclear pore complex (NPC) permeability barrier and is involved in gene tethering at the nuclear periphery; relocalizes to the cytosol in response to hypoxia; both NUP1 and NUP60 are homologous to human NUP153
YAR002C-A	S000002129	ORF	Verified		chromosome 1	L000004678	NA	2011-02-03	1999-07-17	Member of the p24 family involved in ER to Golgi transport; role in misfolded protein quality control; forms heterotrimeric complex with Erp2p, Emp24p, and Erv25p; localized to COPII-coated vesicles; ERP1 has a paralog, ERP6, that arose from the whole genome duplication
YAR003W	S000000064	ORF	Verified	COMPASS subunit protein SWD1|SAF49|CPS50|FUN16	chromosome 1		NA	2011-02-03	1996-07-31	Subunit of the COMPASS (Set1C) complex; COMPASS methylates histone H3 on lysine 4 and is required in transcriptional silencing near telomeres; WD40 beta propeller superfamily member with similarity to mammalian Rbbp7
YAR007C	S000000065	ORF	Verified	replication factor A subunit protein RFA1|RPA70|RPA1|FUN3|BUF2	chromosome 1	L000000204|L000001620	-3	2011-02-03	1996-07-31	Subunit of heterotrimeric Replication Protein A (RPA); RPA is a highly conserved single-stranded DNA binding protein involved in DNA replication, repair, and recombination; RPA protects against inappropriate telomere recombination, and upon telomere uncapping, prevents cell proliferation by a checkpoint-independent pathway; role in DNA catenation/decatenation pathway of chromosome disentangling; relocalizes to the cytosol in response to hypoxia
YAR008W	S000000066	ORF	Verified	tRNA splicing endonuclease subunit SEN34|FUN4	chromosome 1	L000003973	NA	2011-02-03	1996-07-31	Subunit of the tRNA splicing endonuclease; tRNA splicing endonuclease (Sen complex) is composed of Sen2p, Sen15p, Sen34p, and Sen54p; Sen complex also cleaves the CBP1 mRNA at the mitochondrial surface; Sen34p contains the active site for tRNA 3' splice site cleavage and has similarity to Sen2p and to Archaeal tRNA splicing endonuclease
