Feature name (mandatory)	Gene name (locus name)	Chromosome	Start Coordinate	Stop Coordinate	Strand	Description	rep("Candida glabrata", nrow(inter))	paste0("http://www.candidagenome.org/cgi-bin/locus.pl?dbid=", 
C1_00410C_B		Ca22chr1B_C_albicans_SC5314	66327	64699	C	Hexadecenal dehydrogenase; involved in the conversion of sphingosine 1-phosphate breakdown product hexadecenal to hexadecenoic acid; Spider biofilm induced	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000191226
C1_00420W_A		Ca22chr1A_C_albicans_SC5314	67843	68814	W	RNA polymerase II holoenzyme/mediator subunit; regulated by Mig1, Tup1; amphotericin B, caspofungin repressed; protein present in exponential and stationary growth phase yeast; Hap43-repressed; Spider biofilm repressed	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000182735
C1_00420W_B		Ca22chr1B_C_albicans_SC5314	67846	68817	W	RNA polymerase II holoenzyme/mediator subunit; regulated by Mig1, Tup1; amphotericin B, caspofungin repressed; protein present in exponential and stationary growth phase yeast; Hap43-repressed; Spider biofilm repressed	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000196045
C1_00430W_A		Ca22chr1A_C_albicans_SC5314	69226	70902	W	Ortholog(s) have phosphatidylinositol-3,5-bisphosphate binding, phosphatidylinositol-3-phosphate binding, phosphatidylinositol-4-phosphate binding, ubiquitin binding activity	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000198706
C1_00430W_B		Ca22chr1B_C_albicans_SC5314	69229	70905	W	Ortholog(s) have phosphatidylinositol-3,5-bisphosphate binding, phosphatidylinositol-3-phosphate binding, phosphatidylinositol-4-phosphate binding, ubiquitin binding activity	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000185633
C1_00440W_A	UBP6	Ca22chr1A_C_albicans_SC5314	71068	72581	W	Putative ubiquitin-specific protease of the 26S proteasome; oxidative stress-induced via Cap1p	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000193223
C1_00440W_B	UBP6	Ca22chr1B_C_albicans_SC5314	71071	72584	W	Putative ubiquitin-specific protease of the 26S proteasome; oxidative stress-induced via Cap1p	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000196646
C1_00450C_A		Ca22chr1A_C_albicans_SC5314	73283	72741	C	Mitochondrial protein; component of the mitochondrial inner membrane organizing system ; role in maintenance of crista junctions and inner membrane architecture; Spider biofilm repressed	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000194733
C1_00450C_B		Ca22chr1B_C_albicans_SC5314	73286	72744	C	Mitochondrial protein; component of the mitochondrial inner membrane organizing system ; role in maintenance of crista junctions and inner membrane architecture; Spider biofilm repressed	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000181145
C1_00460W_A		Ca22chr1A_C_albicans_SC5314	73580	73900	W	Putative TIM23 translocase complex subunit; membrane-localized; Hap43-repressed	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000176138
C1_00460W_B		Ca22chr1B_C_albicans_SC5314	73583	73903	W	Putative TIM23 translocase complex subunit; membrane-localized; Hap43-repressed	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000188580
C1_00470C_A		Ca22chr1A_C_albicans_SC5314	75381	74056	C	Ortholog(s) have role in N-acylethanolamine metabolic process, N-acylphosphatidylethanolamine metabolic process and integral component of mitochondrial inner membrane localization	Candida glabrata	http://www.candidagenome.org/cgi-bin/locus.pl?dbid=CAL0000184399
